transaction_id,timestamp,response_time,consensus_time,block_inclusion_time,node_id,success,amount,tx_type
tx_1752992502992,1752992502.992621,0.027975082397460938,1.0050230026245117,0.005385875701904297,0,True,1.0,TRANSFER
tx_1752992503093,1752992503.093625,0.0229189395904541,1.0018019676208496,0.005207061767578125,1,True,1.0,TRANSFER
tx_1752992503093,1752992503.093885,0.02208995819091797,1.0009210109710693,0.00310516357421875,2,True,1.0,TRANSFER
tx_1752992503094,1752992503.0941849,0.020733118057250977,1.0007588863372803,0.00652003288269043,0,True,1.0,TRANSFER
tx_1752992503094,1752992503.094589,0.021603107452392578,1.0019159317016602,0.004530906677246094,1,True,1.0,TRANSFER
tx_1752992503094,1752992503.0948539,0.021509170532226562,1.0019259452819824,0.004252195358276367,2,True,1.0,TRANSFER
tx_1752992503200,1752992503.200043,0.021777868270874023,1.0052340030670166,0.009090900421142578,0,True,1.0,TRANSFER
tx_1752992503200,1752992503.20029,0.019071102142333984,1.0049219131469727,0.006867170333862305,1,True,1.0,TRANSFER
tx_1752992503200,1752992503.200611,0.018817901611328125,1.0051500797271729,0.006507158279418945,2,True,1.0,TRANSFER
tx_1752992503200,1752992503.200893,0.02115917205810547,1.0039989948272705,0.009000062942504883,0,True,1.0,TRANSFER
